Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira,,,,
N;AC;RIO BRANCO;S CARUTA DE ALMEIDA; 02.381.199/0001-70;RUA FLORIANO PEIXOTO;721;LOJA I;CENTRO;69908-030;DIESEL;10/05/2004;1,67;1,436;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0002-23;AVENIDA NAÇÕES UNIDAS;2041;0;ESTAÇÃO EXPERIMENTAL;69912-600;GASOLINA;10/05/2004;2,25;1,846;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0002-23;AVENIDA NAÇÕES UNIDAS;2041;0;ESTAÇÃO EXPERIMENTAL;69912-600;ETANOL;10/05/2004;1,55;1,192;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0002-23;AVENIDA NAÇÕES UNIDAS;2041;0;ESTAÇÃO EXPERIMENTAL;69912-600;DIESEL;10/05/2004;1,63;1,436;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;GASOLINA;10/05/2004;2,25;1,828;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;ETANOL;10/05/2004;1,57;1,093;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;DIESEL;10/05/2004;1,62;1,42;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO PARATI LTDA; 34.697.730/0001-05;RUA   ISAURA PARENTE;434;;ISAURA PARENTE;69918-340;GASOLINA;10/05/2004;2,25;1,765;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;AUTO POSTO PARATI LTDA; 34.697.730/0001-05;RUA   ISAURA PARENTE;434;;ISAURA PARENTE;69918-340;ETANOL;10/05/2004;1,55;0,767;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;AUTO POSTO PARATI LTDA; 34.697.730/0001-05;RUA   ISAURA PARENTE;434;;ISAURA PARENTE;69918-340;DIESEL;10/05/2004;1,63;1,348;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;AUTO POSTO TREVO LTDA; 84.322.932/0001-40;ESTRADA APOLONIO SALES;S/N;;VILA IVONETE;69914-610;GASOLINA;10/05/2004;2,25;1,82;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO TREVO LTDA; 84.322.932/0001-40;ESTRADA APOLONIO SALES;S/N;;VILA IVONETE;69914-610;ETANOL;10/05/2004;1,54;0,801;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO TREVO LTDA; 84.322.932/0001-40;ESTRADA APOLONIO SALES;S/N;;VILA IVONETE;69914-610;DIESEL;10/05/2004;1,65;1,33;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO VITORIA LTDA; 84.308.824/0001-13;AVENIDA CEARA;2456;;CENTRO;69900-460;GASOLINA;10/05/2004;2,26;;R$ / litro;SABBÁ,,,
N;AC;RIO BRANCO;AUTO POSTO VITORIA LTDA; 84.308.824/0001-13;AVENIDA CEARA;2456;;CENTRO;69900-460;ETANOL;10/05/2004;1,6;;R$ / litro;SABBÁ,,,
N;AC;RIO BRANCO;AUTO POSTO VITORIA LTDA; 84.308.824/0001-13;AVENIDA CEARA;2456;;CENTRO;69900-460;DIESEL;10/05/2004;1,66;;R$ / litro;SABBÁ,,,
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;;CENTRO;69900-072;GASOLINA;10/05/2004;2,27;1,77;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;;CENTRO;69900-072;ETANOL;10/05/2004;1,57;1,074;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;;CENTRO;69900-072;DIESEL;10/05/2004;1,65;1,353;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO JUNIOR LTDA; 63.605.703/0001-63;AVENIDA GETULIO VARGAS;3149;;VILA IVONETE;69914-000;GASOLINA;10/05/2004;2,25;1,783;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO JUNIOR LTDA; 63.605.703/0001-63;AVENIDA GETULIO VARGAS;3149;;VILA IVONETE;69914-000;ETANOL;10/05/2004;1,54;0,809;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO JUNIOR LTDA; 63.605.703/0001-63;AVENIDA GETULIO VARGAS;3149;;VILA IVONETE;69914-000;DIESEL;10/05/2004;1,65;1,35;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO CENTRAL LTDA; 63.601.249/0001-72;AVENIDA CEARÁ;1114;;CENTRO;69900-460;GASOLINA;10/05/2004;2,29;1,816;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO CENTRAL LTDA; 63.601.249/0001-72;AVENIDA CEARÁ;1114;;CENTRO;69900-460;ETANOL;10/05/2004;1,55;0,808;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO CENTRAL LTDA; 63.601.249/0001-72;AVENIDA CEARÁ;1114;;CENTRO;69900-460;DIESEL;10/05/2004;1,66;1,357;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;GASOLINA;10/05/2004;2,25;1,826;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;ETANOL;10/05/2004;1,6;;R$ / litro;SABBÁ,,,
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;DIESEL;10/05/2004;1,66;1,33;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;POSTO BONZAO LTDA; 14.315.998/0001-28;RUA DOM BOSCO 1;257;;BOSQUE;69900-643;GASOLINA;10/05/2004;2,26;1,846;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BONZAO LTDA; 14.315.998/0001-28;RUA DOM BOSCO 1;257;;BOSQUE;69900-643;ETANOL;10/05/2004;1,55;1,093;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO BONZAO LTDA; 14.315.998/0001-28;RUA DOM BOSCO 1;257;;BOSQUE;69900-643;DIESEL;10/05/2004;1,62;1,436;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO AEROPORTO LTDA; 14.294.227/0001-00;V CHICO MENDES;2583;;COMARA;69906-326;GASOLINA;10/05/2004;2,28;1,841;R$ / litro;SABBÁ,,
N;AC;RIO BRANCO;AUTO POSTO AEROPORTO LTDA; 14.294.227/0001-00;V CHICO MENDES;2583;;COMARA;69906-326;ETANOL;10/05/2004;1,78;;R$ / litro;SABBÁ,,,
N;AC;RIO BRANCO;AUTO POSTO AEROPORTO LTDA; 14.294.227/0001-00;V CHICO MENDES;2583;;COMARA;69906-326;DIESEL;10/05/2004;1,64;1,362;R$ / litro;SABBÁ,,
